,TTDDRUGID,LNM,Indication,ICD9,ICD10
0,DAP000001,quetiapine,Schizophrenia,"295, 710.0","F20, M32"
1,DAP000002,theophylline,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
2,DAP000003,risperidone,Schizophrenia,"295, 710.0","F20, M32"
3,DAP000004,dasatinib,Chronic myelogenous leukemia,"205.1, 208.9","C91-C95, C92.1"
4,DAP000004,dasatinib,Solid tumours; Multiple myeloma,"140-199, 203.0, 210-229","C00-C75, C7A, C7B, C90.0, D10-D36, D3A"
5,DAP000005,sunitinib,Advanced renal cell carcinoma,189,C64
6,DAP000005,sunitinib,Gastrointestinal cancer,.,C15-C26
7,DAP000006,sorafenib,Advanced renal cell carcinoma,189,C64
8,DAP000006,sorafenib,Hepatocellular carcinoma; NSCLC; Melanoma,"155, 162, 172","C22.0, C33, C34, C43"
9,DAP000006,sorafenib,Myelodysplastic syndromes; AML; Head and neck cancer; Breast cancer; Pancreatic cancer,"140-149, 140-229, 157, 183, 205.0","C00-C96, C07-C14, C25, C32, C33, C56, C92.0"
10,DAP000007,dexamethasone,Rheumatold arthritis,714,M05-M06
11,DAP000008,eletriptan,Migraine,346,G43
12,DAP000009,isotretinoin,Acne vulgaris,706.1,L70.0
13,DAP000010,mirtazapine,Depression,311,F32
14,DAP000011,isoniazid,Tuberculosis,010-018,A15-A19
15,DAP000012,disulfiram,Alcohol use disorders,303,F10.2
16,DAP000013,dipyridamole,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
17,DAP000014,cyclosporine,Psoriasis,696,L40
18,DAP000015,l-glutamic acid,Indigestion,.,K30
19,DAP000015,l-glutamic acid,Schizophrenia,"295, 710.0","F20, M32"
20,DAP000016,norepinephrine,Septic shock; Neurogenic shock,"785, 785.52","R57.8, R65.21"
21,DAP000017,dextropropoxyphene,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
22,DAP000018,vasopressin,Enuresis; Polyuria; Diabetes insipidus,"250, 253.5, 307.6, 588.1, 788.30, 788.42","E08-E13, E23.2, F98.0, N25.1, R32, R35"
23,DAP000019,pramipexole,Parkinson's disease,332,"F02.3, G20"
24,DAP000020,leuprolide,Prostate cancer,"140-229, 185","C00-C96, C61"
25,DAP000022,olanzapine,Schizophrenia,"295, 710.0","F20, M32"
26,DAP000023,goserelin,Breast cancer; Prostate cancer,"174, 175, 185","C50, C61"
27,DAP000024,methylphenidate,Attention deficit hyperactivity disorder,"314.00, 314.01",F90
28,DAP000024,methylphenidate,Traumatic brain injury,"800.0-801.9, 803.0-804.9, 850.0-854.1",S06
29,DAP000025,pindolol,Hypertension; Angina,"401, 413","I10, I11, I12, I13, I15, I20"
30,DAP000026,flupenthixol,Schizophrenia,"295, 710.0","F20, M32"
31,DAP000027,mecamylamine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
32,DAP000028,becaplermin,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
33,DAP000029,clozapine,Schizophrenia,"295, 710.0","F20, M32"
34,DAP000030,bosentan,Pulmonary arterial hypertension,416,"I27.0, I27.2"
35,DAP000031,buspirone,Anxiety disorder,"300, 311","F32, F40-F42"
36,DAP000032,tetracycline,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
37,DAP000033,mitotane,Adrenocortical carcinoma,194,C74.0
38,DAP000034,trifluoperazine,Schizophrenia,"295, 710.0","F20, M32"
39,DAP000035,trichlormethiazide,Oedema and hypertension,"401, 782.3","I10, I11, I12, I13, I15, R60.9"
40,DAP000036,neomycin,Acute hepatic failure and alcoholic cirrhosis of the liver,"570, 571.1","K71, K72"
41,DAP000037,glibenclamide,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
42,DAP000038,labetalol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
43,DAP000039,lamotrigine,Epilepsy; Bipolar disorder,"296, 345","F31, G40"
44,DAP000040,verapamil,Hypertension; Angina,"401, 413","I10, I11, I12, I13, I15, I20"
