,Brand Name,Generic Name,Claim Count,Total Spending,Beneficiary Count,Total Annual Spending Per User,Unit Count,Average Cost Per Unit (Weighted),Beneficiary Count No LIS,Average Beneficiary Cost Share No LIS,Beneficiary Count LIS,Average Beneficiary Cost Share LIS,Year,Matched Drug Name,Indication
0,10 wash,sulfacetamide sodium,24.0,1569.19,16.0,98.074375,5170.0,0.3035183752,,,,,2011,sulfacetamide,Acne vulgaris
1,1st tier unifine pentips,"pen needle, diabetic",2472.0,57666.73,893.0,64.576405375,293160.0,0.1967660328,422.0,42.347203791,471.0,7.5458598726,2011,,
2,1st tier unifine pentips plus,"pen needle, diabetic",,,,,,,,,,,2011,,
3,60pse-400gfn-20dm,guaifenesin/dm/pseudoephedrine,12.0,350.1,11.0,31.827272727,497.0,0.7044265594,,,,,2011,pseudoephedrine,Nasal congestion
4,8-mop,methoxsalen,11.0,9003.26,,,298.0,30.212281879,,,,,2011,methoxsalen,Cutaneous T-cell lymphoma
5,a-b otic,antipyrine/benzocaine,30.0,212.86,29.0,7.34,451.0,0.4719733925,,,,,2011,benzocaine,Anesthesia
6,abacavir,abacavir sulfate,,,,,,,,,,,2011,abacavir,HIV infections
7,abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,,,,,,,,,,,2011,lamivudine,HIV infections; Chronic hepatitis B
8,abelcet,amphotericin b lipid complex,363.0,455566.1,97.0,4696.557732,49027.0,9.2921471842,49.0,402.04795918,48.0,6.4125,2011,amphotericin b,Fungal infection
9,abilify,aripiprazole,2447965.0,1469661103.0,360675.0,4074.7517931,77474808.629,19.218620662,57408.0,466.0258943,303267.0,23.082797139,2011,aripiprazole,Schizophrenia
10,abilify discmelt,aripiprazole,4677.0,3929705.8,961.0,4089.183975,189351.5,20.753897074,83.0,439.87638554,878.0,22.165580866,2011,aripiprazole,Schizophrenia
11,abilify maintena,aripiprazole,,,,,,,,,,,2011,aripiprazole,Schizophrenia
12,abraxane,paclitaxel protein-bound,233.0,950703.38,51.0,18641.242745,975.0,975.08038974,14.0,1262.6871429,37.0,4.6054054054,2011,paclitaxel,Cancer
13,absorica,isotretinoin,,,,,,,,,,,2011,isotretinoin,Acne vulgaris
14,abstral,fentanyl citrate,82.0,123813.83,32.0,3869.1821875,5458.0,21.28904455,,,,,2011,,
15,acamprosate calcium,acamprosate calcium,,,,,,,,,,,2011,acamprosate,Alcohol use disorders
16,acanya,clindamycin phos/benzoyl perox,432.0,89539.96,289.0,309.82685121,21601.0,4.1451664738,134.0,104.13858209,155.0,5.484516129,2011,clindamycin,Bacterial infection
17,acarbose,acarbose,171071.0,11693362.63,32843.0,356.03820083,18845023.13,0.6200326418,15297.0,66.968046676,17546.0,7.4039336601,2011,acarbose,Cardiovascular disease
18,accolate,zafirlukast,21924.0,2619497.33,6409.0,408.72169293,1436161.4,1.8235789604,2871.0,179.7795263,3538.0,13.27503957,2011,zafirlukast,Asthma
19,accuneb,albuterol sulfate,120.0,7415.18,90.0,82.390888889,12921.0,0.5736623739,,,,,2011,albuterol sulfate,Acute lung injury
20,accupril,quinapril hcl,8052.0,767824.89,1786.0,429.9131523,438176.6,1.7523967178,1259.0,242.10450357,527.0,22.965294118,2011,quinapril,Hypertension
21,accuretic,quinapril/hydrochlorothiazide,870.0,80475.08,209.0,385.04822967,46820.0,1.7166898813,145.0,252.08627586,64.0,16.4584375,2011,quinapril,Hypertension
22,accusure,"syring w-ndl,disp,insul,0.5 ml",889.0,16181.52,326.0,49.636564417,77262.0,0.2093434816,76.0,12.507105263,250.0,8.11608,2011,,
23,accusure,"syringe and needle,insulin,1ml",768.0,13543.21,269.0,50.346505576,64046.0,0.2111381397,125.0,10.12672,144.0,9.5736111111,2011,insulin,Diabetes mellitus
24,acebutolol hcl,acebutolol hcl,127745.0,3499407.46,20981.0,166.78935513,9501688.222,0.3698130796,17349.0,59.509665687,3632.0,12.229388767,2011,acebutolol,Angina
25,aceon,perindopril erbumine,2605.0,287874.22,685.0,420.25433577,120094.0,2.3864850089,507.0,237.18585799,178.0,18.836179775,2011,perindopril,Hypertension
